,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
352,nytimes,"Inside New York’s dollar van wars: strict regulations, low margins and a constant fight with rogue van drivers https://t.co/kiAEpdxkgV",2018-06-09 11:41:16+00:00,-0.8074,0.0,0.356,0.644,353
353,nytimes,"RT @NYTMetro: On the stoop that was his perch, a requiem for the mayor of West 83rd Street, in Manhattan. https://t.co/qRN1VlPo1t",2018-06-09 11:23:34+00:00,0.0,0.0,0.0,1.0,354
354,nytimes,"Charlotte Fox, 61, Trailblazing Alpinist and Everest Survivor, Dies https://t.co/nM5gpQdLhB",2018-06-09 11:07:18+00:00,0.3612,0.217,0.0,0.783,355
355,nytimes,A Good Appetite: Chicken Milanese Has Its Moment https://t.co/Rhco2hq6mS,2018-06-09 11:05:12+00:00,0.4404,0.293,0.0,0.707,356
356,nytimes,The New York Times obituary for Anthony Bourdain https://t.co/D697EnEWQX,2018-06-09 11:03:06+00:00,0.0,0.0,0.0,1.0,357
357,nytimes,RT @NYTmag: 24 hours. 23 photographers. One city. One topic: Love. Watch the making of this issue https://t.co/s2uND5xgVs and see the full…,2018-06-09 10:35:35+00:00,0.6369,0.167,0.0,0.833,358
358,nytimes,The recent volcanic eruptions in Hawaii and Guatemala are a reminder that not all volcanoes are created equal https://t.co/M7sNdtwIzJ,2018-06-09 10:18:25+00:00,0.25,0.105,0.0,0.895,359
359,nytimes,"For the 3rd time in 4 seasons, and for the 2nd year in a row, the Golden State Warriors are NBA champions https://t.co/r7NgjH0nbf",2018-06-09 10:00:17+00:00,0.5267,0.145,0.0,0.855,360
360,nytimes,"RT @nytimestech: The Chinese electronics maker ZTE has survived its brush with death. Now, it has to figure out how to stay in business. He…",2018-06-09 09:41:41+00:00,-0.1531,0.109,0.129,0.762,361
361,nytimes,"RT @nytrealestate: You may like the contractor, but does the contractor like you back? https://t.co/kPShW4JONu",2018-06-09 09:24:47+00:00,0.6124,0.278,0.0,0.722,362
362,nytimes,"RT @NYTmag: On a rainy Saturday morning on May 19, @philip_nyc captured love in the middle of Times Square. See more from our #NYTLoveCity…",2018-06-09 09:07:20+00:00,0.5994,0.158,0.049,0.792,363
363,nytimes,How I Used Art to Get Through Trauma https://t.co/7N5fzAxLoe,2018-06-09 08:50:10+00:00,-0.4215,0.0,0.286,0.714,364
364,nytimes,"The NYT review of ""Ocean's 8"" https://t.co/flFaRzpyzr",2018-06-09 08:42:33+00:00,0.0,0.0,0.0,1.0,365
365,nytimes,She’s photographed Broadway for years. Now Broadway is honoring her. https://t.co/eI7sfheNWI,2018-06-09 08:26:14+00:00,0.5106,0.248,0.0,0.752,366
366,nytimes,The killing in Germany comes on top of a deepening scandal and calls for a full-blown parliamentary investigation o… https://t.co/0p5qfKyP2V,2018-06-09 08:09:03+00:00,-0.7579,0.075,0.303,0.622,367
367,nytimes,"RT @nytimesworld: More than 140 miles away and three decades after the Chernobyl disaster, some cows still make radioactive milk https://t.…",2018-06-09 07:42:08+00:00,-0.6249,0.0,0.17,0.83,368
368,nytimes,RT @nytopinion: This weekend we are sharing some pieces on music. Think of it as a little inspiration to appreciate the soundtrack of your…,2018-06-09 07:25:53+00:00,0.8097,0.294,0.0,0.706,369
369,nytimes,"RT @nytimesbusiness: HBO is making a pilot for one of the five ""Game of Thrones"" prequels it has in development https://t.co/EMeqQvEdHQ",2018-06-09 07:09:23+00:00,0.0,0.0,0.0,1.0,370
370,nytimes,"Taliban Announce Brief Cease-Fire, Offering Afghans Hope for Lull in War https://t.co/IlMkkFHSCM",2018-06-09 06:52:51+00:00,-0.25,0.173,0.232,0.595,371
371,nytimes,"RT @NYTMetro: Underneath the umbrella: a fascinating photo portfolio of the lifeguards of Jones Beach, in all their stoic, bored, heroic gl…",2018-06-09 06:41:20+00:00,0.7184,0.261,0.077,0.662,372
372,nytimes,"China’s ZTE— a little-known electronics maker— became an unlikely political football, then an even unlikelier objec… https://t.co/APxvWFepXB",2018-06-09 06:24:54+00:00,0.0,0.0,0.0,1.0,373
373,nytimes,"Andrew Rannells: ""I didn't feel jealous; I felt driven. I wanted to be one of those people on the Tonys."" https://t.co/i3LX0WgQBb",2018-06-09 06:06:12+00:00,0.357,0.121,0.0,0.879,374
374,nytimes,Here's who we think will win the Tonys (and who should) https://t.co/ZlqqPQRtvt,2018-06-09 05:50:04+00:00,0.5859,0.257,0.0,0.743,375
375,nytimes,Justice Dept. Requests Delay if DACA Injunction Is Issued https://t.co/HB7h98gENy,2018-06-09 05:35:00+00:00,0.2732,0.248,0.168,0.584,376
376,nytimes,"RT @nytpolitics: The president said that Melania Trump “wanted to go” with him to the Group of 7 summit meeting in Quebec, but was staying…",2018-06-09 05:32:30+00:00,0.0,0.0,0.0,1.0,377
377,nytimes,"50 years after his death, friends, aides and journalists recall Robert F. Kennedy's last campaign in California, hi… https://t.co/bAveWEnYW5",2018-06-09 05:00:08+00:00,-0.2023,0.129,0.163,0.708,378
378,nytimes,"In Canada, many observers were calling it the ""G-6 plus 1"" — with President Trump being cast as the irrational, ira… https://t.co/AUbzhnVmGY",2018-06-09 04:45:03+00:00,-0.34,0.0,0.107,0.893,379
379,nytimes,"RT @kenvogel: MANAFORT paid KONSTANTIN KILIMNIK $531k in 2013 &amp; 2014, according to lobbying records, but that covers only a fraction of the…",2018-06-09 04:30:05+00:00,-0.0387,0.0,0.052,0.948,380
380,nytimes,What should you do when a loved one is severely depressed? Don’t underestimate the power of showing up. https://t.co/yqRyXmSWiM,2018-06-09 04:15:04+00:00,-0.5574,0.148,0.322,0.53,381
381,nytimes,"""This should be a grave concern to anyone who cares about an informed citizenry,"" said Eileen Murphy, a spokeswoman… https://t.co/iwMg5Ng7tl",2018-06-09 04:06:01+00:00,0.1027,0.139,0.12,0.741,382
382,nytimes,RT @NYTSports: Kevin Durant has been named the MVP of the NBA finals for the second straight year. https://t.co/xSARJQ5MlN,2018-06-09 04:01:40+00:00,0.2263,0.095,0.0,0.905,383
383,nytimes,The U.S. just beat out China to develop the world’s fastest supercomputer. You’d need 6.3 billion years to match wh… https://t.co/DMGoDUacwv,2018-06-09 03:54:22+00:00,0.0,0.0,0.0,1.0,384
